path,category,service,usage,status,source_url,alt,draft_caption,review_notes
./images/legacy-import/source/full/img_7751.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7751.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7752.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7752.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7756-9c2029e.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7756-9c2029e.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7763-64e2106.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7763-64e2106.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7764.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7764.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7765.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7765.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7766.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7766.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7767.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7767.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7768.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7768.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7769.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7769.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7770.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7770.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7771.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7771.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
./images/legacy-import/source/full/img_7772.jpeg,legacy-import,,review,draft,"https://img1.wsimg.com/isteam/ip/2e3f1cab-6ded-42d0-bbe4-fb5f3856071a/IMG_7772.jpeg/:/rs=w:1300,h:800",,[TO BE REVIEWED],Imported from legacy carousel; manual review required
